把子|bǎ zi/bà zi
便宜|pián yi/biàn yí
播种|bō zhònɡ/bō zhǒnɡ
大夫|dài fu/dà fū
当年|dānɡ nián/dànɡ nián
当日|dānɡ rì/dànɡ rì
当时|dānɡ shí/dànɡ shí
当晚|dānɡ wǎn/dànɡ wǎn
倒车|dào chē/dǎo chē
倒数|dào shǔ/dào shù
倒转|dào zhuǎn/dào zhuàn
得了|dé le/dé liǎo
登场|dēnɡ chánɡ/dēnɡ chǎnɡ
调配|diào pèi/tiáo pèi
肚子|dù zi/dǔ zi
分子|fēn zǐ/fèn zǐ
杆子|ɡān zi/ɡǎn zi
干将|ɡàn jiànɡ/ɡān jiānɡ
供养|ɡònɡ yǎnɡ/ɡōnɡ yǎnɡ
好事|hǎo shì/hào shì
教学|jiào xué/jiāo xué
结果|jié ɡuǒ/jiē ɡuǒ
尽量|jìn liànɡ/jǐn liànɡ
片子|piān zi/piàn zi
便宜|pián yi/biàn yí
倾倒|qīnɡ dào/qīnɡ dǎo
受累|shòu lèi/shòu lěi
同行|tónɡ hánɡ/tónɡ xínɡ
温和|wēn hé/wēn huo
一晃|yī huǎnɡ/yī huànɡ
应声|yìnɡ shēnɡ/yīnɡ shēnɡ
朝阳|zhāo yánɡ/cháo yánɡ
正当|zhènɡ dānɡ/zhènɡ dànɡ
转动|zhuàn dònɡ/zhuǎn dònɡ
转向|zhuǎn xiànɡ/zhuàn xiànɡ
琢磨|zhuó mó/zuó mo
